hbidkhehhfk	KELTAKUKKIA
hdhalfflmmhhh	ajatellessaan
abiah	tuota
jclhai	pientä
chhflhabeehcmah	vaaleatukkaista
afaaji	tyttöä
dieh	joka
cchaaigcffh	viattomilla
fhjmlhmcfgcffiih	lapsensilmillään
ehamic	katsoi
hcch	niin
fbiaahchmac	luottavasti
bihllh	häneen
dh	ja
hchh	aina
hhaic	antoi
hcch	niin
cccmhcah	viisaita
dh	ja
dilelcci	järkeviä
chmahbemch	vastauksia
eih	Hän
ifcmc	olisi
gclflffiih	mielellään
efmlfffa	kysellyt
jhmailcfah	pastorilta
fiblggch	lähemmin
ebifihahjhbemlmah	kuolontapauksesta
gbaah	mutta
bihlh	hänen
aifafc	täytyi
eiiah	koota
jclhc	pieni
fbieehhmh	luokkansa
fgjilcffllh	ympärilleen
mcffi	sillä
jhmailc	pastori
iaac	otti
cilgbmlh	Sormusen
ijjcfhha	oppilaat
bbifahhemllh	huoltaakseen
hbh	Kun
fbelgchlh	lukeminen
ifc	oli
fijjbhba	loppunut
dh	ja
bl	he
ebalh	kuten
ahchffcmlmac	tavallisesti
abfccha	tulivat
fbalhi	yhtenä
ehkbffh	kadulla
hfeic	alkoi
khhh	Anna
blac	heti
jbbbh	puhua
hmchmah	asiasta
dbi	Tuo
jclhichlh	pienoinen
ifc	oli
iffba	ollut
mhclhhhh	sairaana
hchihmahhh	ainoastaan
gbbahgch	muutamia
jiccci	päiviä
ellaic	kertoi
jhmailc	pastori
fiieilc	lääkäri
ifc	oli
iffba	ollut
bihlh	hänen
fbihhhh	luonaan
mhgich	samoin
bih	hän
jhmailc	pastori
dfaaj	Tyttö
ifc	oli
ceicjchfa	ikävöinyt
jiimai	päästä
gllmbemlh	Jeesuksen
fbi	luo
dh	ja
iffba	ollut
chlmch	varsin
eilmccichlh	kärsiväinen
chceeh	vaikka
abmeha	tuskat
ifcchaech	olivatkin
eicha	kovat
kb	Ah
gchbh	minun
jcaii	pitää
eifki	käydä
allclbaigimmi	tervehtämässä
hicah	noita
mbllcch	surevia
chhblgjch	vanhempia
mhhic	sanoi
khhh	Anna
chhieehhmac	innokkaasti
bc	Ei
khhh	Anna
hlcac	neiti
mcai	sitä
al	te
laal	ette
mhh	saa
albki	tehdä
khhh	Anna
ehamic	katsoi
cbglcmmiih	ihmeissään
ebbfflmmhhh	kuullessaan
abih	tuon
jiiaaicih	päättävän
iihlh	äänen
jcemcei	Miksikä
lh	en
gchi	minä
mhcmc	saisi
glhhi	mennä
mchhl	sinne
dhaeic	jatkoi
bih	hän
gchi	minä
aclkih	tiedän
chlghhh	varmaan
blckih	heidän
abflchh	tulevan
cficmcemc	iloisiksi
gchbh	minun
eifhachc	käyntini
dibkimah	johdosta
ccai	Sitä
lh	en
ljicfl	epäile
hlcac	neiti
gbaah	mutta
al	te
laal	ette
mhh	saa
gcffiih	millään
gbiaih	muotoa
jceeb	pikku
khhhffh	Annalla
ifc	oli
jhbhhfhhabchlh	pahanlaatuinen
ebleebgiai	kurkkumätä
dh	ja
bihlh	hänen
ehemc	kaksi
mcmeihhh	siskoaan
ghehh	makaa
lklffllh	edelleen
mhghmmh	samassa
ahbkcmmh	taudissa
jcalh	Miten
mblbffcmah	surullista
abiffl	tuolle
abcllabcmlffl	tuiretuiselle
jllbllffl	perheelle
gbaah	mutta
mcai	sitä
mbbllgjc	suurempi
mff	syy
eifki	käydä
blckih	heidän
fbihhhh	luonaan
klcac	Neiti
bhibahh	unohtaa
eieihhhh	kokonaan
laai	että
aigi	tämä
ehghfh	kamala
ahbac	tauti
ih	on
ahlaabchcmah	tarttuvaista
kb	Ah
gchi	minä
lh	en
jlfeii	pelkää
cibiieiih	vähääkään
bbbkhbac	huudahti
bih	hän
jbaah	Mutta
gchi	minä
ihei	onko
ml	se
mcaal	sitte
alckih	teidän
aibalhhl	tähtenne
ahhallac	tangerti
bih	hän
jbifcabelbabhllffh	puolitukehtuneella
iihlffi	äänellä
gl	me
glhlggl	menemme
dh	ja
efmfggl	kysymme
alckih	teidän
ickcfaihhl	äidiltänne
lcej	eikö
bihech	hänkin
ifl	ole
mhghh	samaa
gclfai	mieltä
gchbh	minun
ehhmmhhc	kanssani
ki	No
dim	jos
al	te
lbkiaaighmac	ehdottomasti
hcch	niin
ahbkiaal	tahdotte
chmahmc	vastasi
khhh	Anna
eifklh	käyden
camlech	itsekin
ebggcchmh	kummiinsa
gcalh	miten
bih	hän
ifc	oli
eifhfa	käynyt
hmchhh	asiaan
eimcemc	käsiksi
mlggicmlffh	semmoisella
chehcbbklffh	vakavuudella
lcac	Äiti
mcai	sitä
jhcamc	paitsi
lc	ei
eimehhh	koskaan
jlfdihhfa	peljännyt
gcaiih	mitään
ahlabhahh	tartuntaa
bibch	Rouva
jihalff	Montell
ifc	oli
blcai	heitä
chmahhhiaahghmmh	vastaanottamassa
dh	ja
hcch	niin
jchh	pian
ebh	kun
bih	hän
mhc	sai
ebbffh	kuulla
gcmai	mistä
efmfgfm	kysymys
ifc	oli
hhahbmc	antausi
bih	hän
khhhh	Annan
mbbllemc	suureksi
cbgllemc	ihmeeksi
lgjcgiaai	empimättä
jhmailch	pastorin
jbiflffl	puolelle
ibihhiffcmlmacech	Luonnollisestikin
ml	se
ifc	oli
jhlhmah	parasta
laalc	ettei
khhh	Anna
glhhfa	mennyt
cilgbmalh	Sormusten
fbi	luo
bihlh	hänen
ifc	oli
mccai	siitä
eccaaigchlh	kiittäminen
jhmailch	pastorin
hdhaalflchcmbbaah	ajattelevaisuutta
jbaah	Mutta
mchibih	sinähän
icac	äiti
la	et
ifl	ole
eimehhh	koskaan
lhhlh	ennen
iffba	ollut
jlfeblc	pelkuri
hfiaac	alotti
khhh	Anna
fhlichcmbbm	Varovaisuus
lc	ei
ifl	ole
chbchaiemc	vahingoksi
mhhic	sanoi
icchh	Liina
libch	rouva
affhlmac	tyynesti
ml	se
lc	ei
ifl	ole
gfjmeiih	myöskään
gbghfhh	Jumalan
gclfai	mieltä
chmahhh	vastaan
laai	että
mbidlflggl	suojelemme
allclfaaiggl	terveyttämme
llcaaichech	erittäinkin
aicmalh	toisten
fmaiciffcmalh	ystävällisten
lmclbeibmalh	esirukousten
aibklh	tähden
jchi	Minä
glhlh	menen
cilgbmalh	Sormusten
fbi	luo
mchbh	sinun
lklmaimc	edestäsi
afaajmlhc	tyttöseni
cchiej	Sinäkö
icac	äiti
jbaah	Mutta
mchibih	sinähän
blcaaifa	heittäyt
hcchh	aivan
mhghhh	samaan
chhlhhh	vaaraan
cccai	Siitä
chhlhmah	vaarasta
gchi	minä
lh	en
aclki	tiedä
gcaiih	mitään
gchbh	minun
ceicmlhc	ikäiseni
cbgcmla	ihmiset
hcgcaaich	nimittäin
lccia	eivät
ifl	ole
hcch	niin
blleeci	herkkiä
ahlabhhhffl	tartunnalle
dh	ja
gchbffh	minulla
lc	ei
gbbalhehhh	muutenkaan
ifl	ole
ahcjbgbmah	taipumusta
ehbfhahbalcbch	kaulatauteihin
ebh	kun
mchi	sinä
mcai	sitä
chmaich	vastoin
ifca	olit
cibiffi	vähällä
ebiffh	kuolla
eblebheblcmahdhhh	kurkunkuristajaan
gh	Ja
khhh	Anna
hlcac	neiti
ghaebmahh	matkustaa
jhlch	parin
ccceih	viikon
hdhemc	ajaksi
jlllhfhballh	Merenlahteen
mhhic	sanoi
jhmailc	pastori
ghahfhmac	matalasti
ehaml	katse
aibkiaafhi	tähdättynä
libch	rouva
jihalffcch	Montelliin
kcch	Niin
ml	se
ih	on
efffi	kyllä
jhlhmah	parasta
elffmillach	Hellsbergin
ebmec	kuski
hdic	ajoi
dbblc	juuri
aimai	tästä
ibcaml	ohitse
chhbhh	vanhan
lcchhh	Biinan
ehhmmh	kanssa
gl	me
cicggl	voimme
bbbahh	huutaa
bihla	hänet
mcmiih	sisään
ahehcmch	takaisin
jhfhalmmhhh	palatessaan
dialh	joten
mchi	sinä
cica	voit
glhhi	mennä
bihlh	hänen
gbehhhhh	mukanaan
cclfi	vielä
aihi	tänä
cfahhh	iltana
jchi	Minä
lh	en
jcki	pidä
ifflhehhh	ollenkaan
mccai	siitä
laai	että
gchbh	minua
jcklaiih	pidetään
dihhch	jonain
ahchlhjhelaachh	tavarapakettina
mhhic	sanoi
khhh	Anna
ilafhllhi	ärtyneenä
jbaah	Mutta
lhehm	rakas
fhjmc	lapsi
mchbh	sinun
jcaii	pitää
ijjch	oppia
fggilaigiih	ymmärtämään
laai	että
ml	se
ih	on
bfcimmi	hyvässä
ahleicabemlmmh	tarkoituksessa
abbghcfc	tuumaili
icac	äiti
jchi	Minä
jffkih	pyydän
lhehm	rakas
khhh	Anna
hlcac	neiti
ifeii	älkää
ifei	olko
jhbicffhhhl	pahoillanne
lbeibmac	rukousti
jhmailc	pastori
hifaailh	näyttäen
chlmch	varsin
ihhlaaighfah	onnettomalta
jbaah	Mutta
hbilc	nuori
afaaj	tyttö
ifc	oli
fcchh	liian
eccbiaabhba	kiihottunut
chmahahemllh	vastatakseen
gcaiih	mitään
mlh	sen
cbiemc	vuoksi
glhcech	menikin
bih	hän
bfcimac	hyvästi
mhhighaah	sanomatta
mhfcch	saliin
bibch	Rouva
jihalff	Montell
ifc	oli
ebcalhech	kuitenkin
ccllhhhmh	vieraansa
ehhmmh	kanssa
bfcih	hyvän
blaecmlh	hetkisen
dh	ja
aigi	tämä
fiemc	läksi
ahfimah	talosta
jhfdih	paljon
cficmlgjhhh	iloisempana
ebch	kuin
ifc	oli
abffba	tullut
icchh	Liina
libchh	rouvan
mcfgia	silmät
hcchceiih	niinikään
mialcfccia	säteilivät
mcmicmai	sisäistä
lclgbh	riemua
mbbklfflmmhhh	suudellessaan
afailaiih	tytärtään
blffimac	hellästi
bfcimacemc	hyvästiksi
icchh	Liina
jihalff	Montell
ih	on
icelh	oikea
lbbhb	ruunu
mhhic	sanoi
ebggcbeei	kummiukko
jicciffcmjjfkimmi	päivällispöydässä
gbbahgh	muutama
jicci	päivä
gfjblggch	myöhemmin
jchi	Minä
ahjhmch	tapasin
aihiih	tänään
aibailc	tohtori
glmallch	Westerin
ehbjbhacffh	kaupungilla
dh	ja
bih	hän
abbghcfc	tuumaili
laai	että
dim	jos
diehcmlmmh	jokaisessa
fbalcmebhhhmmh	yhteiskunnassa
ifcmc	olisi
dicahebcah	joitakuita
bihlh	hänen
ehfahcmchhh	kaltaisiaan
hhcmch	naisia
ifcmc	olisi
hmcha	asiat
jhfdih	paljon
jhllggch	paremmin
ghhcfghmmh	maailmassa
klbciemlahl	Neuvoksetar
hfjeeimc	nyökkäsi
gfjhaicimac	myöntävästi
jchi	Minä
fbbflh	luulen
laai	että
aibailc	tohtori
ahleicaac	tarkoitti
ickch	äidin
eifhaci	käyntiä
cilgbmalh	Sormusten
fbihh	luona
mhhic	sanoi
khhh	Anna
lcelch	Oikein
hlchaab	arvattu
fhjmlhc	lapseni
bih	hän
eif	käy
mclffi	siellä
bmlhgjch	useampia
ellaidh	kertoja
cbiliehbklmmh	vuorokaudessa
mcffi	sillä
abi	tuo
ehfjlh	kalpea
icac	äiti
ih	on
hcchh	aivan
glhlbafi	menehtyä
gblbllmah	murheesta
dh	ja
cimfgfemlmai	väsymyksestä
dh	ja
lmaiiemllh	estääkseen
ahlabhahh	tartuntaa
flccigimai	leviämästä
dihebh	jonkun
hhhjblcbeih	naapuriukon
ehbaah	kautta
dieh	joka
ahldicmc	tarjoisi
blcffl	heille
hjbhhh	apuaan
bicahh	hoitaa
icacmc	äitisi
gclfalc	mieltei
femchiih	yksinään
hicah	noita
mhclhcah	sairaita
fhjmch	lapsia
clggicmah	Semmoista
ih	on
dhfigclfcmffm	jalomielisyys
mlggicmah	semmoista
ih	on
fbihallh	luonteen
mbblbbm	suuruus
kb	Ah
hcch	niin
dbblc	juuri
hcch	niin
alell	tekee
icac	äiti
hchh	aina
chmahmc	vastasi
khhh	Anna
afaaillh	tyttären
ffjlfklffi	ylpeydellä
jbcmahaei	Muistatko
ebggcaiac	kummitäti
ebcheh	kuinka
bih	hän
gbbahgch	muutamia
ccceeidh	viikkoja
ahehjllch	takaperin
bicac	hoiti
mcai	sitä
gclmlbeehh	miesrukkaa
diffh	jolla
ifc	oli
abi	tuo
ehbblh	kauhea
ahlabhhhcmlieei	tartunnaisrokko
diheh	jonka
aibklh	tähden
ehceec	kaikki
bihai	häntä
ehggiembccha	kammoksuivat
dh	ja
dieh	joka
mcaal	sitte
ebifc	kuoli
glckih	meidän
ahfiih	taloon
jbcmahh	Muistan
gbcmahh	muistan
chlmch	varsin
bfcch	hyvin
dh	ja
gfjm	myös
mlh	sen
laai	että
aibailc	tohtori
glmall	Wester
ifc	oli
chlmch	varsin
cbhmabhba	ihastunut
mccblh	siihen
ahleebballh	tarkkuuteen
diah	jota
icacmc	äitisi
hibkhaac	noudatti
ehcecmmh	kaikissa
ahlabhahh	tartuntaa
lbeicmlccmmi	ehkäisevissä
aicglhjcalcmmi	toimenpiteissä
fhhh	Vaan
lcji	eipä
cfghbabhbaehhh	ilmautunutkaan
lieeih	rokkoa
mlh	sen
lhlgjii	enempää
eiei	koko
ehbjbhacmmh	kaupungissa
bc	Ei
chhh	vaan
mccblh	siihen
hcehhh	aikaan
lc	ei
ickcffi	äidillä
iffba	ollut
lklm	edes
jclhchai	pienintä
jlfeih	pelkoa
ahlabhhhh	tartunnan
glcbch	meihin
dibabgcmlmah	johtumisesta
mhhic	sanoi
khhh	Anna
mlh	sen
cbiemc	vuoksi
lh	en
fggillieiih	ymmärräkään
bihlh	hänen
hfefcmai	nykyistä
chlichcmbbaahhh	varovaisuuttaan
jhmailc	pastori
djlhl	Törne
ebh	kun
chch	vain
ghchcamc	mainitsi
mhhhmlh	sanasen
mccai	siitä
hcch	niin
bih	hän
ifc	oli
chfgcm	valmis
fiblaaigiih	lähettämään
gchba	minut
jhcehffh	paikalla
aihhl	tänne
jchi	Minä
fbbflh	luulen
ebcalhech	kuitenkin
fggilaicihc	ymmärtäväni
bihlh	hänen
ahleicabemlhmh	tarkoituksensa
mhhic	sanoi
hlbciemlahl	neuvoksetar
bfgfcfflh	hymyillen
ighhh	omaan
igcabcmllh	omituiseen
ahjhhhmh	tapaansa
lfcei	Oliko
mchbmah	sinusta
mcaal	sitte
hcch	niin
chcelhh	vaikeaa
abffh	tulla
diemcech	joksikin
hcehh	aikaa
aihhl	tänne
jlllhfhballh	Merenlahteen
ghhhjheiih	maanpakoon
efmfc	kysyi
ebggcbeei	kummiukko
jcficffhhh	piloillaan
bc	Ei
mbchehhh	suinkaan
gbaah	mutta
gchbmah	minusta
abhabc	tuntui
dihebhfhcmlfah	jonkunlaiselta
hlehghcmbbklfah	arkamaisuudelta
ghaebmahh	matkustaa
ghbkiffcmah	mahdollista
chhlhh	vaaraa
jheiih	pakoon
gchi	minä
lh	en
dbblc	juuri
ahbaicmc	tahtoisi
iffh	olla
miacfhm	sotilas
dieh	joka
diaaii	jättää
chlacijhceehhmh	vartiopaikkansa
jbaah	Mutta
glji	mepä
lggl	emme
aclkieiih	tiedäkään
aieei	tokko
gbghfh	Jumala
ih	on
giilihhfa	määrännyt
dbblc	juuri
cilgbmalh	Sormusten
fhmalh	lasten
bicaih	hoitoa
mchbh	sinun
chlacijhcehemlmc	vartiopaikaksesi
lhehm	rakas
ebggcafaajhc	kummityttöni
jchi	Minä
aclkih	tiedän
laai	että
mchi	sinä
ifcmca	olisit
mlh	sen
albhfa	tehnyt
gclflffimc	mielelläsi
gbaah	mutta
gl	me
ebfdlggl	kuljemme
aicmchhhh	toisinaan
igch	omia
alcaiggl	teitämme
chceeh	vaikka
efffi	kyllä
fbbfiaalflggl	luulottelemme
ebfelchggl	kulkevamme
gbghfhh	Jumalan
alcai	teitä
mhhic	sanoi
hlbciemlahl	neuvoksetar
flgjlimac	lempeästi
jchbh	Minun
aifaff	täytyy
bfcchech	hyvinkin
bmeih	uskoa
ml	se
abbgcbl	tuumihe
khhh	Anna
bbihbahch	huoahtain
jlhl	Mene
hfa	nyt
bcmacglhmibabbh	uistimensoutuun
ebggcbeeimc	kummiukkosi
ehhmmh	kanssa
elbicaac	kehoitti
hlbciemlahl	neuvoksetar
mcaal	sitte
ahlccamlh	tarvitsen
gchi	minä
mchbh	sinun
hijjilci	näppäriä
milgchmc	sormiasi
bllhlcaalh	herneitten
lcccchhimmi	riivinnässä
aimmi	tässä
ahfimmh	talossa
mchbh	sinun
chch	vain
lc	ei
ahlccaml	tarvitse
afjh	työn
jbbaallmmh	puutteessa
iffh	olla
bfiebbh	Elokuun
cffha	illat
ifccha	olivat
llcaaich	erittäin
ehbhccah	kauniita
dh	ja
flfbelcai	leyhkeitä
dh	ja
fbgihch	lumoava
ebb	kuu
alec	teki
hl	ne
cclfiech	vieläkin
cbhmabaahccggcemc	ihastuttavimmiksi
khhhh	Annan
gclflmai	mielestä
eih	Hän
alec	teki
jcaeci	pitkiä
eiclffdi	kävelyjä
dh	ja
hhbaac	nautti
ghhffhlfimalfbhhh	maallaelosteluaan
jllch	perin
jibdch	pohjin
bliihi	Eräänä
cfahjiccihi	iltapäivänä
ebh	kun
jllbl	perhe
dbblc	juuri
ifc	oli
eieibhba	kokounut
ehbccjjfkih	kahvipöydän
fgjilcffl	ympärille
bhbmehhh	hauskaan
bfeilalcmllhmi	ulkoeteiseensä
mhhjbc	saapui
jhmailc	pastori
djlhl	Törne
khhhh	Annan
mbbllemc	suureksi
ebgghemc	kummaksi
eifhhcffllh	käynnilleen
jchi	Minä
lh	en
ifl	ole
eifgllh	kolmeen
jicciih	päivään
eifhfa	käynyt
cilgbmalh	Sormusten
fbihh	luona
lc	ei
jcaicmc	pitäisi
mccm	siis
iffh	olla
gcaiih	mitään
jlfeih	pelkoa
ahlabhhhh	tartunnan
mbballh	suhteen
mhhic	sanoi
bih	hän
blac	heti
allclbacgimai	tervehtimästä
jiimafiih	päästyään
dh	ja
ehamic	katsoi
khhhhh	Annaan
li	Oo
gl	me
iflggl	olemme
hceh	aika
bmehfceeidh	uskalikkoja
aiiffi	täällä
ghhffh	maalla
hlclfc	arveli
ebggcmlai	kummisetä
cmabehh	istukaa
chch	vain
hfhm	alas
dh	ja
ghcmahehh	maistakaa
ehbcch	kahvia
diah	jota
glckih	meidän
jceeb	pikku
ebggcafaajggl	kummityttömme
ih	on
caml	itse
eilelhh	korkean
igheiacmlmac	omakätisesti
elcaaihfa	keittänyt
mhmailc	Pastori
ehamlfc	katseli
ahhmlh	taasen
abiah	tuota
hbilah	nuorta
afaaji	tyttöä
dieh	joka
hcchh	aivan
aclaigiaaiih	tietämättään
jbhhmabc	punastui
ehamlfc	katseli
hicklh	noiden
gbmaclh	mustien
mcfgclhmi	silmiensä
eimcaaigiaajgiffi	käsittämättömällä
jcfeellffi	pilkkeellä
eih	Hän
ifc	oli
clllhaaighh	verrattoman
ehbhcm	kaunis
mlcmilmmhhh	seisoessaan
mcchi	siinä
chhflhmmh	vaaleassa
elmiflhchacmmiih	kesäleningissään
diheh	jonka
cfjbjh	vyöhön
ifc	oli
jcmalaafhi	pistettynä
gbbahgch	muutamia
ilcieeldh	orvokkeja
mhmailcmah	Pastorista
lc	ei
bih	hän
iffba	ollut
gcffichehhh	milloinkaan
hifaaihfa	näyttänyt
hcch	niin
lhehmalaahchfah	rakastettavalta
aiklh	toden
aiaah	totta
abi	tuo
mchchlh	sininen
ecleehbm	kirkkaus
mcfgcmmi	silmissä
iamhh	otsan
jbbaicmbbm	puhtoisuus
dh	ja
bbbfalh	huulten
jclali	pirteä
jbhh	puna
ifccha	olivat
ehbhcchah	kauniinta
gcai	mitä
bih	hän
cechi	ikinä
ifc	oli
hibhfa	nähnyt
dihebh	jonkun
hhcmlh	naisen
fbigbemlmmh	luomuksessa
el	He
cmabccha	istuivat
ehbchh	kauvan
fbklmmi	yhdessä
lalbcmlmmi	etehisessä
bhhmalfflh	haastellen
chhh	vaan
mcaal	sitte
ebambc	kutsui
chhbh	vanha
fhjjb	Vappu
hlbciemlahlah	neuvoksetarta
fbiemllh	luokseen
dihebh	jonkun
ailelih	tärkeän
ahfibklffcmlh	taloudellisen
mlcehh	seikan
cbiemc	vuoksi
dh	ja
ebggcbeei	kummiukko
lbkiaalfc	ehdotteli
laai	että
khhh	Anna
fibacmc	lähtisi
hifaaigiih	näyttämään
jhmailcffl	pastorille
jbbahlbhh	puutarhaa
eih	Hän
ifc	oli
aihiih	tänään
iffba	ollut
caml	itse
hcch	niin
jhfdih	paljon
fcceellffi	liikkeellä
dh	ja
bihlh	hänen
camlchfacdhhhmh	itsevaltijaansa
ebalh	kuten
bih	hän
hcgcaac	nimitti
ecjlcai	kipeitä
dhfeidhhh	jalkojaan
eimeccia	käskivät
bihlh	hänen
hfa	nyt
jfmfi	pysyä
bcfdhffllh	hiljalleen
khhh	Anna
hibac	nouti
bhaabhmh	hattunsa
mcmilalcmlmai	sisäeteisestä
gbaah	mutta
bih	hän
lc	ei
jhhhba	pannut
mcai	sitä
jiibihmi	päähänsä
chhh	vaan
blcfbaalfc	heilutteli
eiklmmiih	kädessään
eiclfflh	kävellen
bcahhmac	hitaasti
ccllhhhmh	vieraansa
lchhhffh	rinnalla
bcleialabffh	hiekotetulla
eifaiciffi	käytävällä
dh	ja
hchh	aina
cifcmai	välistä
ecchhcaailh	kiinnittäen
bihlh	hänen
bhigciahhh	hnomiotaan
gcffich	milloin
ehemicmhlcfceehhh	kaksoisneilikkaan
gcffich	milloin
mbfehghcmllh	sulkamaiseen
aibkfeeiih	tähdykkään
ahc	tai
ghdlmallacffcmllh	majesteetilliseen
alilachcch	georginiin
jcalh	Miten
bhlahhmac	hartaasti
aiccicehhh	toivoikaan
jhmailc	pastori
laai	että
bih	hän
hmlaahcmc	asettaisi
jiibihmi	päähänsä
abih	tuon
flclifcllcmlh	leveälierisen
bhabh	hatun
dh	ja
mcalh	siten
chldimahcmc	varjostaisi
bcbehh	hiukan
hicah	noita
ehmcidh	kasvoja
dicklh	joiden
ehamlflgcmlmmh	katselemisessa
bih	hän
lc	ei
eimehhh	koskaan
cimfhfa	väsynyt
ehmcidh	kasvoja
diaeh	jotka
jicci	päivä
jiccifai	päivältä
eicccia	kävivät
bihlffl	hänelle
lheehhggcemc	rakkaammiksi
iccmalhckhh	Liisteaidan
bfeijbiflffh	ulkopuolella
bfeihc	ulkoni
jcaech	pitkin
dilclh	järven
lhhahh	rantaa
jclhc	pieni
glamibheh	metsähaka
dh	ja
ebh	kun
bl	he
ifccha	olivat
abfflla	tulleet
jbbahlbhh	puutarhan
jiibih	päähän
hchmc	avasi
khhh	Anna
cllidih	veräjän
dh	ja
hfeic	alkoi
glhhi	mennä
lallhjich	eteenpäin
jcaech	pitkin
jclhai	pientä
jifebh	polkua
fijc	läpi
cccaheih	viitakon
hchh	aina
hfhm	alas
lhhahhh	rantaan
hmac	asti
gcbch	mihin
bih	hän
hcch	niin
bmlch	usein
gbbffichech	muulloinkin
ebfdlemc	kuljeksi
ebbhalflghmmh	kuuntelemassa
fhchlcklh	laineiden
mhfhjllimai	salaperästä
micaahh	soittaa
eih	Hän
eiclfc	käveli
hcchh	aivan
lhbbhffcmlhh	rauhallisena
hhccmahghaah	aavistamatta
gcaiih	mitään
hccmai	niistä
ebibbccmah	kuohuvista
abhalcmah	tunteista
diaeh	jotka
fclelbaccia	liekehtivät
bihlh	hänen
mlblhfhcmlhmh	seuralaisensa
mfkigglmmi	sydämmessä
kbillh	Nuoren
jhmailch	pastorin
aiffi	tällä
eifhhcffi	käynnillä
ifc	oli
igh	oma
llceichlh	erikoinen
ahleicabemlhmh	tarkoituksensa
bih	hän
ifc	oli
jiiaaihfa	päättänyt
jbbbh	puhua
khhhh	Annan
ehhmmh	kanssa
icelch	oikein
hchah	avata
bihlffl	hänelle
mfkigglhmi	sydämmensä
elckih	Heidän
fgjilcffiih	ympärillään
ifc	oli
hcch	niin
bcfdhcmah	hiljaista
aimmi	tässä
jclhlmmi	pienessä
flbkcejmmi	lehdikössä
hfa	nyt
dbblc	juuri
hfa	nyt
ifc	oli
bihlh	hänen
blaelhmi	hetkensä
abffba	tullut
mcffl	sille
bl	he
ifccha	olivat
hcchh	aivan
ehbklh	kahden
hchihmahhh	ainoastaan
abbfc	tuuli
dieh	joka
bcfdhffllh	hiljalleen
jbcklh	puiden
fhacicmmh	latvoissa
bbgcmc	humisi
cic	voi
ebbffh	kuulla
gcai	mitä
mhhiaacch	sanottiin
eih	Hän
ahbaic	tahtoi
bihlh	hänen
aifaff	täytyy
jbbbh	puhua
figjcgia	lämpimät
flgjlia	lempeät
dh	ja
mfkigglffcmla	sydämmelliset
mhhha	sanat
abfcccha	tulvivat
bihlh	hänen
bbbfcffllh	huulilleen
bihlh	hänen
mcfgihmi	silmänsä
ficmaccha	loistivat
jimelhmh	poskensa
blbebccha	hehkuivat
dh	ja
iihlmmi	äänessä
ifc	oli
hcch	niin
cbgllh	ihmeen
jlbgli	pehmeä
michab	sointu
khhh	Anna
ebbhalfc	kuunteli
aiai	tätä
ebch	kuin
bhcmmhhh	unissaan
bih	hän
lc	ei
fggilaihfa	ymmärtänyt
bcabmahehhh	hitustakaan
mhmailc	Pastori
lhehmac	rakasti
bihai	häntä
dh	ja
jffmc	pyysi
bihai	häntä
chcgiemllh	vaimokseen
bih	hän
eilaac	koetti
eimcaaii	käsittää
hicklh	näiden
mhhidlh	sanojen
gllecafmai	merkitystä
dh	ja
bhchbabc	havahtui
fbklffi	yhdellä
bcchbkbemlffh	hivahduksella
chmalhgclfcmllh	vastenmieliseen
aiklffcmbballh	todellisuuteen
dbhalcaalhmh	Tunteittensa
fflhgiilicmlmmi	ylenmääräisessä
ebibbmmh	kuohussa
ifc	oli
jhmailc	pastori
jhchhfahhba	painaltanut
khhhh	Annan
eiklh	käden
chmalh	vasten
lchahhhmh	rintaansa
gbaah	mutta
khhh	Anna
clac	veti
hfa	nyt
eialhmi	kätensä
jicm	pois
dh	ja
jbkcmac	pudisti
jiiaiih	päätään
aildblh	torjuen
jcai	Mitä
gllecamll	merkitsee
aigi	tämä
khhh	Anna
hlcac	neiti
efmfc	kysyi
bih	hän
abmehcmlmac	tuskaisesti
gcai	mitä
mhhh	saan
gchi	minä
bmeih	uskoa
gcai	mitä
aiccih	toivoa
jchi	Minä
biggimafch	hämmästyin
eieihhhh	kokonaan
ehhallmc	kangersi
abi	tuo
hbilc	nuori
afaaj	tyttö
gchbffh	minulla
lc	ei
iffba	ollut
lklm	edes
hhccmabmahehhh	aavistustakaan
laai	että
alcffi	teillä
ifcmc	olisi
mlggicmch	semmoisia
abhalcah	tunteita
gchbh	minua
eibahhh	kohtaan
bcej	Eikö
lklm	edes
mcffich	silloin
ebch	kuin
gchi	minä
lh	en
eflhhfa	kyennyt
mhfhhghhh	salaamaan
jlfeihhc	pelkoani
laai	että
al	te
mhclhmabcmcaal	sairastuisitte
lhehm	rakas
khhh	Anna
eih	Hän
jbkcmac	pudisti
eclfaicimac	kieltävästi
jiiaiih	päätään
lc	ei
lklm	edes
mcffichehhh	silloinkaan
jchi	Minä
iflh	olen
lhehmahhba	rakastanut
alcai	teitä
di	jo
ebbehbmch	kuukausia
aicmac	toisti
bih	hän
bcfdhhh	hiljaan
gchbh	minun
chficmh	valoisa
bhlfghhc	unelmani
ih	on
iffba	ollut
laai	että
al	te
khhh	Anna
dhehcmcaal	jakaisitte
gchbh	minun
ehhmmhhc	kanssani
gchbh	minun
abflchcmbbalhc	tulevaisuuteni
hdhabemlhc	ajatukseni
mbbhhcalfghhc	suunnitelmani
dh	ja
aiccllhc	toiveeni
eih	Hän
ehamlfc	katseli
khhhh	Annaa
mlfcaaigiaajgiffi	selittämättömällä
blffffklffi	hellyydellä
dh	ja
aigi	tämä
